"Oslo Norsemen","Brandon Aiyuk","WR","SF","bench",1400000,2028
"Oslo Norsemen","Kendrick Bourne","WR","ARI","bench",100000,2034
"Oslo Norsemen","Jalen Coker","WR","CAR","bench",200000,-
"Oslo Norsemen","Ryan Flournoy","WR","DAL","bench",100000,2034
"Oslo Norsemen","Quentin Johnston","WR","LAC","bench",800000,-
"Oslo Norsemen","Wan'Dale Robinson","WR","TEN","bench",600000,-
"Oslo Norsemen","Dontayvion Wicks","WR","GB","bench",500000,2034
"Oslo Norsemen","Chigoziem Okonkwo","TE","WAS","bench",200000,2034
"San Francisco Second 2 None","Baker Mayfield","QB","TB","starter",2700000,2034
"San Francisco Second 2 None","TreVeyon Henderson","RB","NE","starter",500000,2034
"San Francisco Second 2 None","Ashton Jeanty","RB","LV","starter",1000000,2034
"San Francisco Second 2 None","Dylan Sampson","RB","CLE","starter",250000,2034
"San Francisco Second 2 None","Drake London","WR","ATL","starter",400000,2028
"San Francisco Second 2 None","Jakobi Meyers","WR","JAX","starter",1000000,-
"San Francisco Second 2 None","George Pickens","WR","DAL","starter",500000,2029
"San Francisco Second 2 None","Colston Loveland","TE","CHI","starter",600000,2034
"San Francisco Second 2 None","Michael Penix Jr.","QB","ATL","bench",1000000,-
"San Francisco Second 2 None","Tyler Allgeier","RB","ARI","bench",1000000,2034
"San Francisco Second 2 None","Ollie Gordon II","RB","MIA","bench",100000,2034
"San Francisco Second 2 None","Kaleb Johnson","RB","PIT","bench",500000,2034
"San Francisco Second 2 None","Bhayshul Tuten","RB","JAX","bench",250000,2034
"San Francisco Second 2 None","Jaylen Wright","RB","MIA","bench",100000,-
"San Francisco Second 2 None","Jayden Higgins","WR","HOU","bench",500000,2034
"San Francisco Second 2 None","Jerry Jeudy","WR","CLE","bench",400000,2029
"San Francisco Second 2 None","Malik Nabers","WR","NYG","bench",700000,2030
"San Francisco Second 2 None","Rashid Shaheed","WR","SEA","bench",300000,-
"San Francisco Second 2 None","Xavier Worthy","WR","KC","bench",900000,-
"San Francisco Second 2 None","AJ Barner","TE","SEA","bench",700000,2034
"San Francisco Second 2 None","Oronde Gadsden II","TE","LAC","bench",300000,2034
"Tacoma Toros","Marcus Mariota","QB","WAS","starter",1100000,2034
"Tacoma Toros","Josh Jacobs","RB","GB","starter",1600000,2027
"Tacoma Toros","Tyjae Spears","RB","TEN","starter",500000,2029
"Tacoma Toros","Rhamondre Stevenson","RB","NE","starter",1500000,2029
"Tacoma Toros","Chimere Dike","WR","TEN","starter",250000,2034
"Tacoma Toros","Deebo Samuel","WR","WAS","starter",400000,-
"Tacoma Toros","Brian Thomas Jr.","WR","JAX","starter",1000000,2030
"Tacoma Toros","Harold Fannin Jr.","TE","CLE","starter",700000,2034
"Tacoma Toros","Jayden Daniels","QB","WAS","bench",1000000,-
"Tacoma Toros","Daniel Jones","QB","IND","bench",2400000,2034
"Tacoma Toros","LeQuint Allen","RB","JAX","bench",100000,2034
"Tacoma Toros","Jordan Mason","RB","MIN","bench",1000000,-
"Tacoma Toros","Kalel Mullings","RB","TEN","bench",100000,2034
"Tacoma Toros","Chris Rodriguez Jr.","RB","JAX","bench",200000,2034
"Tacoma Toros","Brashard Smith","RB","KC","bench",100000,2034
"Tacoma Toros","Xavier Hutchinson","WR","HOU","bench",100000,2034
"Tacoma Toros","Tez Johnson","WR","TB","bench",100000,2034
"Tacoma Toros","Jaylin Lane","WR","WAS","bench",250000,2034
"Tacoma Toros","Marvin Mims","WR","DEN","bench",600000,-
"Tacoma Toros","Calvin Ridley","WR","TEN","bench",200000,-
"Tacoma Toros","KaVontae Turpin","WR","DAL","bench",300000,-
"Tacoma Toros","Terrance Ferguson","TE","LAR","bench",100000,2034
"Tacoma Toros","Brenton Strange","TE","JAX","bench",300000,-
